,X0,X1,y
0,-10.034530160170128,-3.8409800585709855,1
1,-5.190377209013702,-3.1988824174577064,3
2,-5.47348816398915,-2.6929549080028967,3
3,-4.9598549849285565,-3.1070429943130917,3
4,-6.688130327314883,8.556783730174814,6
5,-2.656579701478202,4.299695882063936,0
6,-7.440013774476618,-3.5142044839440056,3
7,-7.347321074437541,-2.7987440947835402,3
8,-4.437381073193965,7.259963325553754,6
9,-0.12134052940546747,3.607104162633583,5
10,-1.108773868022121,1.0377367156073585,4
11,-5.680314502706885,6.707767816284894,6
12,-9.398499268193843,-5.423585636384518,1
13,-8.366020990022305,-3.092457306344775,1
14,-1.829879234335694,2.253148288693323,4
15,-6.746123213910858,2.757988670052581,7
16,-1.642395179574431,3.9773475906080678,0
17,-10.80655970012523,-3.3959090945051713,1
18,-6.265641312522218,-6.821695581045117,2
19,-11.043246751029995,-3.598064040356975,1
20,-4.53391754871394,6.298137753829252,6
21,-9.587446758256258,-3.0934775755662924,1
22,-10.17319558823915,3.8364730089527757,7
23,-1.9842433849967938,1.3438500785859246,4
24,-2.1788687755179774,0.5865675136234221,4
25,-5.6143408889021655,9.418319654903065,6
26,-2.0343645932511722,3.6565202515674953,0
27,-9.654625911179124,3.016793710767773,7
28,-1.2980928509846432,4.954502234153905,5
29,-1.0878512124188173,3.336658033111206,5
30,-12.66183844291524,-4.379777164996727,1
31,-2.2233486405308223,4.496176276165752,0
32,-6.227966458033653,7.398613266845429,6
33,-8.892085866834517,-4.903512546706308,3
34,-6.412411151663088,7.44339625839152,6
35,-8.704162882989793,-4.392346211029482,1
36,-5.568476872297524,-6.48249888291312,2
37,-8.335002217340415,3.198261561138667,7
38,-12.000964856247286,4.877690675189666,7
39,-6.761292424588962,-8.954015144190812,2
40,-5.743949196451898,7.996671803681812,6
41,-11.088050836107916,-2.253160400717679,1
42,-1.646207229601343,3.7117962735559353,0
43,-1.6932166688015107,3.9122152752481845,5
44,-2.300849417607715,3.7467067871762354,5
45,-1.075804195663887,3.1971328052475196,5
46,-9.429796171819037,2.538312734040572,7
47,-5.128791871491702,0.8917049933534048,4
48,-9.579806808063516,-7.338603089639757,2
49,-6.346665801095885,-8.899401815281392,2
50,-10.291364034300027,4.6892068002513545,7
51,-1.4686444212810534,6.506745005322004,0
52,-3.3337557135674514,5.231519693282148,0
53,-8.97916002888522,-2.72279034740848,1
54,-3.59935057559872,-0.07492751894338934,4
55,-0.9465170160224007,4.0575232624105055,5
56,-6.660783865975327,-4.833157833692937,3
57,-5.763657345928578,-8.46562021981548,2
58,-6.435033888236271,-2.3665053355043284,3
59,-8.227805495844681,3.546381467200479,7
60,-4.83583931353237,8.794018072355652,6
61,-6.406501335020874,-0.9164526628836192,3
62,-11.331448171254374,3.9848090491462234,7
63,-7.53817671351303,-4.413034676319363,3
64,-9.947395417505966,-3.3030253331108588,1
65,-1.7824501314671677,3.4707204345840927,0
66,-9.26543000555889,4.352166628602964,7
67,-6.297155144469431,-4.489255436263445,3
68,-1.149274374079126,1.6834785476217566,4
69,-7.893113704056558,-1.2272203568615552,3
70,-9.679558303974412,-3.9725801814608417,1
71,-9.61095605768867,4.300563027181248,7
72,-1.341137142493601,4.432854614505349,5
73,-1.6158909127701304,4.180175626329556,0
74,-8.75059370387107,3.7294513864550503,7
75,-5.01805830156525,-2.3496916228964215,3
76,-9.199648708354157,-4.055280586626805,1
77,-9.084325447390968,4.00108438891557,7
78,-0.4799884757991666,1.9118186488631619,4
79,-3.3202510534264693,1.8229960650249386,4
80,-10.181112700973125,-2.8523483446947226,1
81,-8.772572408796231,3.5077576464149045,7
82,-1.990843075881148,4.793029013976253,0
83,-4.105804694723806,1.2250350368403007,4
84,-1.9137397735558879,5.806333811324148,0
85,-3.262744493512712,4.6414334448277765,5
86,-8.448261536143903,-7.4357994825869875,2
87,-7.664346010917098,-2.254502253887287,3
88,-2.3064765942034278,5.307976760491872,0
89,-9.544269235756474,2.758794915645085,7
90,-1.8818880485588787,4.205731799913164,0
91,-2.8793043029275522,6.855858517904559,0
92,-1.0749132954710934,4.730764112291583,0
93,-1.6498392329347553,3.620095740829565,5
94,-3.0861153264690513,6.174449817154188,0
95,-9.013700266712862,-4.513029969281762,1
96,-5.8917689026893765,-2.1474598745895057,3
97,-1.0005101098483093,2.779051528226904,0
98,-1.0077543352425522,3.3526981318116125,5
99,-8.830637337653137,-3.993017247453687,1
100,-2.8529269765088947,-0.4416386996274606,4
101,-1.851695363880839,2.81313236902333,5
102,-4.800617128751776,8.837107108402753,6
103,0.8687658008578785,4.1578550911277015,0
104,-1.5269921818745216,3.8097473998603415,5
105,-2.2849019074145076,3.812646801588652,0
106,-4.644165980307546,-2.915969375035386,3
107,-6.285390317605527,-9.239529011834936,2
108,-10.323773809413238,-3.9842599649673405,1
109,-7.063329874999901,6.15151679773394,6
110,-11.306308398270309,3.978083751118753,7
111,-9.67644658916927,-4.678563473108571,1
112,-5.1271890978398105,-3.6035203812073657,3
113,-6.692666390228489,-3.9856650455551623,3
114,-6.211608442799043,7.215389360501399,6
115,-1.6978119803434364,1.7076444690171442,5
116,-1.4855632996365655,1.6208531196440212,4
117,-7.1983708530238,-6.166662993681645,2
118,0.47826816149096274,3.6209558719229262,0
119,-9.503370852670722,-5.447542312637889,1
120,-3.8840993575910696,1.0296485857899318,4
121,-6.400039381313308,8.141053401016237,6
122,-4.133221408911512,9.32550701136848,6
123,-0.0014650766022605843,2.051003157244514,4
124,-1.1563750925131935,5.6997157513754235,0
125,-0.8186983478074158,4.303602651269624,0
126,-3.802026635025888,3.5763210048204535,0
127,-2.285005211559758,4.526687078254087,5
128,-1.6982554152145706,2.7907175141398666,0
129,-10.036890759862597,-4.182102718583417,1
130,-1.8111305885731892,1.7301422452972388,5
131,-9.687895745045614,-2.9020277795144533,1
132,-1.083821532212585,3.3868006801050643,5
133,-5.553423242796611,8.49832363578323,6
134,-5.596435102271376,9.17323020520159,6
135,-1.2894443967935407,0.3582107581503414,4
136,-7.04371035506959,-7.724569364990159,2
137,-8.760612121333027,3.3170129304678824,7
138,-8.17670027443326,-9.339779805569053,2
139,-9.886375237270132,-3.972871105683478,1
140,-6.518151917741313,-8.630609766856706,2
141,-1.1389835688751488,3.262148479220019,0
142,-9.816673759295231,-2.8461730964141423,1
143,-9.394054367516281,4.323423217198222,7
144,-5.855657651870592,7.968165844732019,6
145,-10.22012653218301,-2.4831882035374644,1
146,-1.3736989595079054,4.018351750890561,5
147,-2.4820270948527714,5.128201160955854,0
148,-8.992025823341885,-3.5997813313605755,1
149,-2.6570725592578928,1.6722226841955163,5
150,-8.895475771067758,-5.182922800909633,1
151,-3.0522712280906634,1.43575348680282,4
152,-2.611622428425518,0.5140808064625676,4
153,-5.671083506408174,6.921411272541157,6
154,-5.078622659891312,6.8310155142312325,6
155,-6.063562111286543,-1.0411306219954866,3
156,-8.077920217225014,-5.3450424234172385,1
157,-4.0678605003962565,8.97724988133837,6
158,-0.9549952484614285,2.107175763677434,5
159,-5.3208035422282345,-3.8519280602217214,3
160,0.1831020990083907,3.4689790498984734,5
161,-1.42115409714419,2.5568799502609787,5
162,-8.307689224446381,-3.537107114763999,3
163,-5.334553114501808,9.277003821092235,6
164,-6.171098078276698,-7.203960018390664,2
165,-9.385479980525048,-3.208464010922553,1
166,-5.918542090112077,7.895235983714517,6
167,-8.837694441422391,0.8224402375191424,7
168,-1.9603988612144028,3.643572533399677,5
169,-2.090566614044761,-1.1778571356583114,4
170,-7.251323454941623,-8.508469618121007,2
171,-1.4834122436656925,-0.41431655349373764,4
172,-8.388627594886293,-7.936895147003571,2
173,-12.142156550381552,-4.322910972700638,1
174,-4.859454287984119,7.196225467716765,6
175,-1.8229328155723425,2.595004185218494,5
176,-6.344196248895569,-9.69867574204384,2
177,-9.134626235726904,2.7488540258743104,7
178,-7.032246805849741,-3.451431377906469,3
179,-1.3389832113729516,3.8546703150086525,5
180,-2.5822310413175362,0.9877696490587575,4
181,-6.313278234731362,-3.5715123215045934,3
182,-1.4510246281538848,3.937502644301878,5
183,-1.2298858290353158,4.314536044585657,5
184,-5.8365543794290495,-3.5098823442048586,3
185,-9.006795088907955,3.5870043670039577,7
186,-1.1720621195561503,0.044302795461951705,4
